link_ID,Kind_num,Kind,Width,Direction,Toll,Const_St,UndConCRID,SnodeID,EnodeID,FuncClass,Length,DetailCity,Through,UnThruCRID,Ownership,Road_Cond,Special,AdminCodeL,AdminCodeR,Uflag,OnewayCRID,AccessCRID,SpeedClass,LaneNumS2E,LaneNumE2S,LaneNum,Vehcl_Type,Elevated,Structure,UseFeeCRID,UseFeeType,SpdLmtS2E,SpdLmtE2S,SpdSrcS2E,SpdSrcE2S,DC_Type,NoPassCRID,OutBanCRID,NumBanCRID,ParkFlag,PHYLaneS2E,PHYLaneE2S,DThrough,DThruCRID,LaneNumSum,MobBriCRID,BusLaneS2E,BusLaneS2ECRID,BusLaneE2S,BusLaneE2SCRID,partition
132084790,2,0102|010c,130,2,2,1,,10943461,742006,2,0.085,1,1,,0,1,0,110101,110101,1,,,4,4.0,,3,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,4.0,,0,,4,,0,,0,,0
132084800,1,030a,55,2,2,1,,740738,10943462,3,0.063,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
132084920,1,030a,55,2,2,1,,46982072,10943468,3,0.036,1,1,,0,1,0,110101,110101,1,,,7,2.0,,2,11110001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
132084930,1,030a,55,2,2,1,,10943468,739991,3,0.019,1,1,,0,1,0,110101,110101,1,,,7,2.0,,2,11110001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
5765540,2,0005|000b,30,2,2,1,,12576507,739991,3,0.11,1,1,,0,1,0,110101,110101,1,,,7,1.0,,1,11100001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
132084950,3,0003|000b|000c,30,2,2,1,,10943469,737053,2,0.006,1,1,,0,1,0,110101,110101,1,,,5,1.0,,1,11100001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
6716230,2,0102|010c,55,2,2,1,,737054,773660,2,0.024,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
5688510,3,0105|010b|0117,30,2,2,1,,744595,744596,3,0.021,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11100001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
6809470,1,030a,55,2,2,1,,777689,744596,3,0.008,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
151544650,2,0102|010c,55,2,2,1,,12497919,738583,2,0.11,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,4.0,,0,,3,,0,,0,,0
132085000,1,030a,55,2,2,1,,760557,10943472,3,0.041,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,,0,,2,,0,,0,,0
132085010,1,030a,55,2,2,1,,10943472,717274,3,0.006,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
132085400,1,0601,55,1,2,1,,732880,10943492,4,0.003,1,1,,0,1,0,110102,110102,1,,,6,1.0,1.0,1,11110001110000000000000000000000,0,0,,,400.0,400.0,0.0,0.0,1,,,,0,1.0,1.0,0,,2,,0,,0,,0
400946790,1,0601,55,1,2,1,,53555387,732880,4,0.019,1,1,,0,1,0,110102,110102,1,,,6,1.0,1.0,1,11110001110000000000000000000000,0,0,,,400.0,400.0,0.0,0.0,1,,,,0,1.0,1.0,0,,2,,0,,0,,0
400407710,1,0602,55,2,2,1,,53550980,736238,4,0.052,1,1,,0,1,0,110101,110101,1,,,5,3.0,,2,11100001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132085600,1,0602,55,2,2,1,,737823,10943502,4,0.043,1,1,,0,1,0,110101,110101,1,,,5,3.0,,2,11100001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,3.0,,0,,3,,1,9000129658106.0,0,,0
400404330,1,0602,55,2,2,1,,717176,53550807,4,0.062,1,1,,0,1,0,110101,110101,1,,,5,3.0,,2,11100001110000000000000000000000,0,0,,,600.0,,0.0,,1,,,,0,3.0,,0,,3,,1,9000130315387.0,0,,0
5736380,1,0804,30,1,2,1,,717176,736232,5,0.008,1,0,,0,1,0,110101,110101,1,,,7,1.0,1.0,1,11110001110000000000000000000000,0,0,,,150.0,150.0,0.0,0.0,1,,,,0,1.0,1.0,0,,1,,0,,0,,0
6844600,2,0604|0616,30,1,2,1,,774843,774844,4,0.017,1,1,,0,1,0,110101,110101,1,,,5,1.0,1.0,1,11110001110000000000000000000000,0,0,,,600.0,600.0,0.0,0.0,1,,,,0,1.0,1.0,0,,1,,0,,0,,0
90001799320600,1,0804,30,1,2,1,,671130,9000179932056,5,0.019,2,1,,0,1,0,110101,110101,1,,,7,1.0,1.0,1,11110001110000000000000000000000,0,0,,,150.0,150.0,0.0,0.0,0,,,,0,0.0,0.0,0,,1,,0,,0,,0
132478480,1,0302,130,2,2,1,,659090,10941317,2,0.057,1,1,,0,1,0,110105,110105,1,,,5,4.0,,3,11100001110000000000000000000000,0,0,,,700.0,,1.0,,1,,,,0,4.0,0.0,0,,4,,1,9000129599840.0,0,,0
132478500,1,0302,130,2,2,1,,673726,10941318,2,0.183,1,1,,0,1,0,110105,110105,1,,,5,4.0,,3,11100001110000000000000000000000,0,0,,,700.0,,1.0,,1,,,,0,4.0,,0,,4,,0,,0,,0
132478510,1,0302,130,2,2,1,,10941318,655060,2,0.062,1,1,,0,1,0,110105,110105,1,,,5,4.0,,3,11100001110000000000000000000000,0,0,,,700.0,,1.0,,1,,,,0,4.0,,0,,4,,0,,0,,0
132478660,1,0602,55,2,2,1,,671472,10941326,4,0.035,1,1,,0,1,0,110102,110102,1,,,5,3.0,,2,11110001110000000000000000000000,0,0,,,700.0,,0.0,,1,,,,0,4.0,,0,,3,,0,,0,,0
132478670,1,0602,55,2,2,1,,10941326,663446,4,0.006,1,1,,0,1,0,110102,110102,1,,,5,3.0,,2,11110001110000000000000000000000,0,0,,,700.0,,0.0,,1,,,,0,4.0,,0,,3,,0,,0,,0
132478680,1,0602,55,2,2,1,,639564,10941327,4,0.029,1,1,,0,1,0,110102,110102,1,,,5,3.0,,2,11100001110000000000000000000000,0,0,,,700.0,,0.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132478720,1,0602,55,2,2,1,,10941327,10941329,4,0.022,1,1,,0,1,0,110102,110102,1,,,5,3.0,,2,11100001110000000000000000000000,0,0,,,700.0,,0.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132478730,1,0602,55,2,2,1,,10941329,640235,4,0.011,1,1,,0,1,0,110102,110102,1,,,5,3.0,,2,11100001110000000000000000000000,0,0,,,700.0,,0.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
6360980,1,060b,30,2,2,1,,651058,640235,4,0.016,1,1,,0,1,0,110102,110102,1,,,6,1.0,,1,11110001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
