case,seed,model,MAE,MSE
largest_L12,43,unified,4.140809535986588,39.99930519123439
largest_L12,43,no_background,4.472909689721945,48.4916325288269
largest_L12,43,no_dynamic,4.388841552524251,43.54969650826706
largest_L12,44,static,4.561988256969516,51.97511766042979
largest_L12,44,unified,4.143651570995033,40.075048260458814
largest_L12,44,no_background,4.4549250171809245,48.08887635676204
largest_L12,44,no_dynamic,4.3941845838230895,43.6115173562328
largest_L12,45,static,4.614129922635027,53.857717760262695
largest_L12,45,unified,4.136021834888396,40.00121615289536
largest_L12,45,no_background,4.457773723612722,48.207522144157096
largest_L12,45,no_dynamic,4.387983493571526,43.544002629967174
largest_L12,46,static,4.598201733376731,53.559172993605856
largest_L12,46,unified,4.135995398768017,40.02164110401583
largest_L12,46,no_background,4.456146802279891,48.193516877098226
largest_L12,46,no_dynamic,4.3887673472893285,43.56006074113408
largest_L24,42,static,4.88039660487095,59.07184622620623
largest_L24,42,unified,4.131028865792073,39.50145465663522
largest_L24,42,no_background,4.746761338302805,54.40703290246803
largest_L24,42,no_dynamic,4.253763074353257,41.45896788831239
largest_L24,43,static,4.8714558112518525,58.810073201624576
largest_L24,43,unified,4.139386530231515,39.78831810248691
largest_L24,43,no_background,4.739130416951272,54.3697995478574
largest_L24,43,no_dynamic,4.255941148898028,41.47783033299647
largest_L24,44,static,4.905564304299337,58.42178551451282
largest_L24,44,unified,4.133804342461068,39.76965185899874
largest_L24,44,no_background,4.737120831443164,54.49953553297209
largest_L24,44,no_dynamic,4.25730711697375,41.499354168946624
largest_L24,45,static,4.895298852453802,59.41275172332015
largest_L24,45,unified,4.1409527792185505,39.80102524939696
largest_L24,45,no_background,4.739244342754423,54.39058360938931
largest_L24,45,no_dynamic,4.254458154673873,41.46442630787504
largest_L24,46,static,4.8793918973879995,58.9835334329147
largest_L24,46,unified,4.143939246073086,39.84769508640752
largest_L24,46,no_background,4.75571345780934,54.685966592121396
largest_L24,46,no_dynamic,4.253348685259601,41.446870550838725
